;31.557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Part;Prix;Value;Device;Package;Description;MOUSER;MOUSER_PART_NUMBER;Mfr. No:;MOUSER_PRICE-STOCK;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PACKAGING;PART-NUMBER;PINS;POPULARITY;PRICE;PU;RS_PART_NUMBER;RS_PRICE-STOCK;SPICEPREFIX;SUSUMU;TAIYO_YUDEN;TDK;TP_SIGNAL_NAME;TYPE;VALUE;VISHAY;WORKING-VOLTAGE
H6;0;MOUNT-HOLE2.8;MOUNT-HOLE2.8;2,8;MOUNTING HOLE with drill center marker;;;;;;;;;;;;;15;;;;;;;;;;;;;
HT;0;PTR1TP09R;PTR1TP09R;TP09R;TEST PIN;;;;;;;;;;;;;1;;;;;;;;;;;;;
IC1;;;ESP12ESMD;ESP12E-SMD;ESP12E Module;;;;;;;;;;;;;;;;;;;;;;;;;;
IC2;9.84;DS3231/SO;DS3231/SO;SO16W;;700-DS3231SN#;;;;DS3231;;;;SOIC-16 Maxim Integrated;;;;;None;9.5;;;;;;;;;;;
IC4;2.88;ATMEGA328;ATMEGA168-20AU;QFP032;;;556-ATMEGA168-20AU;ATMEGA168-20AU;;;;;;;;;;;;1.4;;;;;;;;;;;
IC5;;LM1117MP-3.3_NOPB;LM1117MP-3.3_NOPB;SOT230P700X180-4N;Space saving 800-mA low-dropout linear regulator with internal current limit;;926-LM1117MP-3.3NOPB;;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM1117MP-33-NOPB?qs=X1J7HmVL2ZFn4x9DZ4T2hA%3D%3D;;;;;;;;;;;;;;;;;;;;;;
IC6;;UCC3803DTR;UCC3803DTR;SOIC127P600X175-8N;Switching Controllers Low-Power BiCMOS Current-Mode PWM;595-UCC3803D;595-UCC3803DTR;;https://www.mouser.com/Search/Refine.aspx?Keyword=595-UCC3803DTR;;;;;;;;;;;3.05;;;;;;;;;;;
IC7;1.6;FDS2672;FDS2672;SOIC127P600X175-8N;FDS2672, N-channel MOSFET Transistor 3.9 A 200 V, 8-Pin SOIC;512-FDS2672;512-FDS2672;FDS2672;https://www.mouser.com/Search/Refine.aspx?Keyword=512-FDS2672;;;;;;;;;;;1.54;6710481P;http://uk.rs-online.com/web/p/products/6710481P;;;;;;;;;
J2;1.75;6.29105E+11;6.29105E+11;6.29105E+11;WR-COM Micro USB 2.0 Type AB Horizontal;710-629105150921;;;;;;;;;Tape and Reel;6.29105E+11;5;;;1.9;;;;;;;;Horizontal;6.29105E+11;;30V(AC)
L2;0.057;60 Ohms @ 100MHz;L-EUL2012C;L2012C;INDUCTOR, European symbol;963-BKP2125HS600-T;;BKP2125HS600-T;;;;;;;;;;2;;;;;L;;;;;;;;
L3;2.31;33uH;MSS7341;MSS7341;Shielded Power Inductors;710-784770330;;784770330;;;;;;;;;;1;;2.55;;;;;;;;;;;
L5;0.057;Ferrite;L-EUL2012C;L2012C;INDUCTOR, European symbol;963-BKP2125HS600-T;;;;;;;;;;;;2;;;;;L;;;;;;;;
